[2023-05-07 22:24:34,641] Register - Step 01: Navigate to 'Register' Page
[2023-05-07 22:25:23,573] Register - Step 01: Navigate to 'Register' Page
[2023-05-07 22:25:24,717] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-07 22:25:24,827] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-07 22:25:24,930] Register - Step 04: Enter to Email textbox with value is'abc4587@gmail.com'
[2023-05-07 22:25:25,026] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-07 22:25:25,176] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-07 22:25:25,269] Register - Step 07: Click to 'Register' button
[2023-05-07 22:25:26,304] Register - Step 08: Verify Register success message is displayed
[2023-05-07 22:25:26,354]  -------------------------- PASSED -------------------------- 
[2023-05-07 22:25:26,364] Login - Step 01: Click to 'Login' link
[2023-05-07 22:25:27,111] Login - Step 02: Enter to Email textbox with value is'abc4587@gmail.com'
[2023-05-07 22:25:27,217] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-07 22:25:27,331] Login - Step 04: Click to 'Login' button
[2023-05-07 22:25:28,324] Login - Step 05: Verify MyAccount link is displayed
[2023-05-07 22:25:28,403]  -------------------------- PASSED -------------------------- 
[2023-05-07 22:25:28,403] Login - Step 06: Click to 'MyAccount' link
[2023-05-07 22:25:29,129] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-07 22:25:29,230]  -------------------------- PASSED -------------------------- 
[2023-05-08 18:50:45,525] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 18:50:46,815] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 18:50:46,955] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-08 18:50:47,078] Register - Step 04: Enter to Email textbox with value is'abc4272@gmail.com'
[2023-05-08 18:50:47,205] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 18:50:47,322] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 18:50:47,489] Register - Step 07: Click to 'Register' button
[2023-05-08 18:50:48,783] Register - Step 08: Verify Register success message is displayed
[2023-05-08 18:50:48,949]  -------------------------- PASSED -------------------------- 
[2023-05-08 18:50:48,959] Login - Step 01: Click to 'Login' link
[2023-05-08 18:50:49,856] Login - Step 02: Enter to Email textbox with value is'abc4272@gmail.com'
[2023-05-08 18:50:49,957] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 18:50:50,264] Login - Step 04: Click to 'Login' button
[2023-05-08 18:50:51,638] Login - Step 05: Verify MyAccount link is displayed
[2023-05-08 18:50:51,758]  -------------------------- PASSED -------------------------- 
[2023-05-08 18:50:51,758] Login - Step 06: Click to 'MyAccount' link
[2023-05-08 18:50:52,659] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-08 18:50:52,809]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:03:07,166] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 19:03:08,499] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 19:03:08,661] Register - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-08 19:03:08,799] Register - Step 04: Enter to Email textbox with value is'abc1532@gmail.com'
[2023-05-08 19:03:08,952] Register - Step 05: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:03:09,081] Register - Step 06: Enter to ConfirmPassword textbox with value is'abc1234'
[2023-05-08 19:03:09,203] Register - Step 07: Click to 'Register' button
[2023-05-08 19:03:10,171] Register - Step 08: Verify Register success message is displayed
[2023-05-08 19:03:10,312]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:03:10,331] Login - Step 01: Click to 'Login' link
[2023-05-08 19:03:10,909] Login - Step 02: Enter to Email textbox with value is'abc1532@gmail.com'
[2023-05-08 19:03:11,093] Login - Step 03: Enter to Password textbox with value is'abc1234'
[2023-05-08 19:03:11,234] Login - Step 04: Click to 'Login' button
[2023-05-08 19:03:12,122] Login - Step 05: Verify MyAccount link is displayed
[2023-05-08 19:03:12,270]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:03:12,270] Login - Step 06: Click to 'MyAccount' link
[2023-05-08 19:03:12,796] Login - Step 07: Verify CustomerInfor page is displayed
[2023-05-08 19:03:12,963]  -------------------------- PASSED -------------------------- 
[2023-05-08 19:07:47,408] Register - Step 01: Navigate to 'Register' Page
[2023-05-08 19:07:48,621] Register - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-08 19:07:48,800] Register - Step 03: Enter to Lastname textbox with value is'FC'
