[2023-05-15 01:30:25,887] Register_01 - Step 01: Click to 'Register' link
[2023-05-15 01:30:27,122] Register_01 - Step 02: Click to 'Register' button
[2023-05-15 01:30:27,496] Register - Step 03: Verify error message at FirstName textbox is displayed
[2023-05-15 01:30:27,566]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:27,566] Register - Step 04: Verify error message at LastName textbox is displayed
[2023-05-15 01:30:27,609]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:27,609] Register - Step 05: Verify error message at Email textbox is displayed
[2023-05-15 01:30:27,670]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:27,670] Register - Step 06: Verify error message at Password textbox is displayed
[2023-05-15 01:30:27,717]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:27,717] Register - Step 07: Verify error message at  Confirm Password textbox is displayed
[2023-05-15 01:30:27,794]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:27,800] Register_02 - Step 01: Click to Register link
[2023-05-15 01:30:28,301] Register_02 - Step 02: Enter to FirstName textbox with value automation
[2023-05-15 01:30:28,450] Register_02 - Step 03: Enter to LastName textbox with value FC
[2023-05-15 01:30:28,568] Register_02 - Step 04: Enter to Invalid Email textbox with value abc@123
[2023-05-15 01:30:28,687] Register_02 - Step 05: Enter to Password textbox with value abc1234
[2023-05-15 01:30:28,792] Register_02 - Step 06: Enter to Confirm Password textbox with value abc1234
[2023-05-15 01:30:28,892] Register_02 - Step 06: Click to 'Register' button
[2023-05-15 01:30:29,381] Register_02 - Step 05: Verify error message at Email textbox is displayed
[2023-05-15 01:30:29,500]  -------------------------- PASSED -------------------------- 
[2023-05-15 01:30:29,503] Register_03 - Step 01: Navigate to 'Register' Page
[2023-05-15 01:30:29,938] Register_03 - Step 02: Enter to Firstname textbox with value is'automation'
[2023-05-15 01:30:30,084] Register_03 - Step 03: Enter to Lastname textbox with value is'FC'
[2023-05-15 01:30:30,208] Register_03 - Step 04: Enter to Email textbox with value is'abc5344@gmail.com'
